,filename,ed,lo,lo2,lo3,lo4,ph,rm
0,1.wav,7.0864919888771185,-15.088273,-21.78988657676333,-21.488265823443303,0.08425326,321.63749700136594,0.14190087251258776
1,2.wav,4.7356636159499175,-28.400948,-22.209361538557015,-23.75811353218124,0.06487753,540.2107900346343,-0.1853107699383674
2,3.wav,1.389828821656051,-34.576782,-33.17616831994112,-35.68924011927313,0.016426234,396.774867596706,-0.2311244812823264
3,4.wav,3.5251055877220816,-22.055592,-20.710852002807712,-22.21565113957108,0.077484965,477.6008997296593,0.6193917689133918
4,5.wav,3.312800480769231,-21.345467,-19.345884727763977,-19.5215901293659,0.105662405,315.6013732123199,0.1726101930542944
5,6.wav,1.4442280270753163,-29.82683,-20.78217045461496,-21.470450362664334,0.08442625,411.0827146909603,0.24378316772380376
6,7.wav,3.1132341867469884,-13.563195,-21.19900914040848,-21.653930231679688,0.08266154,413.27412981206635,-0.13204114557533123
7,8.wav,1.2184836647727273,-19.71506,-22.916106891694923,-22.811633261651586,0.072346635,415.77925352226106,-0.04797167792617612
8,9.wav,0.07010266888225719,-33.256115,-24.210940859913094,-27.02350819322749,0.04454763,389.6419589308306,-0.2592261796675487
9,10.wav,4.044911084254144,-26.959913,-21.941583888336723,-22.476392042303743,0.07519352,499.4505981115969,-0.26665285231953684
10,11.wav,4.706483468326885,-14.045033,-19.47778450823044,-20.916312255259946,0.089987956,606.244504321157,0.3434141382998338
11,12.wav,3.1035968842867754,-21.222694,-24.542198702297654,-25.489585477552552,0.053152137,348.2577953753113,-0.09655569725227613
12,13.wav,6.136110653034301,-16.899084,-21.178524338374462,-21.875109826227664,0.0805832,371.738002221995,0.39025131274577674
13,14.wav,5.891287998733375,-15.158635,-16.51297906186851,-16.531156916732414,0.14908782,489.385651635553,0.390408901291238
14,15.wav,3.0567638505520507,-25.341467,-21.827831585015883,-23.554280282471076,0.06641803,468.55814435500463,0.23363947893126924
15,16.wav,6.467186844588927,-14.965404,-13.51448831289317,-13.431706141148469,0.21301721,412.4060229044059,-0.1036816448339888
16,17.wav,3.675178190457719,-27.130754,-26.23264611648021,-26.847644717600772,0.04545878,422.7770501122013,-0.29168871645915284
17,18.wav,0.924629696531792,-17.243273,-15.56654314966916,-15.865069630374919,0.16097058,349.08285033947914,-0.19424128302624158
18,19.wav,4.456964272045315,-32.23201,-18.35844863966432,-20.062917837881105,0.09927825,525.0427660370942,-0.16807039020983738
19,20.wav,2.9069824218750004,-24.467752,-25.07767535574206,-26.109151236338413,0.049492847,621.0798040486668,-0.23339183709752254
20,21.wav,2.7776244817260443,-25.81587,-25.939320318339295,-26.94074033318104,0.044974152,499.76000165563624,0.29203397352457666
21,22.wav,3.1006101818520357,-27.638346,-23.118259079771956,-24.496979640184463,0.05958693,693.408331505721,0.268619700903511
22,23.wav,5.139612268518519,-27.177464,-24.74383303931826,-25.873049491268787,0.050856624,525.5242012724761,0.18029745621652463
23,24.wav,7.744545299061766,-11.613077,-15.601718971606834,-15.21919132232073,0.17339654,617.3965467321904,-0.11501113632911245
24,25.wav,6.597406914893617,-26.698936,-19.29356568685338,-26.17581547326298,0.049114443,398.94460219824856,-0.13608881437235745
25,26.wav,3.2911009143013095,-25.686945,-25.36441759716847,-25.653366451651696,0.05215929,493.6196770345827,-0.06878388524653088
26,27.wav,3.1490369142636454,-15.451995849609375,-22.55359926798213,-22.20129184489917,0.07761316746473312,314.2539391543954,-0.3802060408618912
